	MTUS1	CELA1	EPPIN	RP11-219B4.5	FABP7	C2orf69	TFPI	ID4	ZNF227	RPS17L	SULT1C2	GPR144	C17orf47	ACSL4	VIPAS39	GPR183
GTEX-ZPIC-1126-SM-5BC7F	10.24038416		0.39361004		7.24006477	8.11583692	10.31848183	8.38462736	7.57201087	8.65517923	0.11918645	0.91682051	-0.65799597	9.79682437	9.06279955	7.81745795
GTEX-WYBS-0926-SM-3NM94	11.80329573	-0.4123578	1.96542948	2.71797192	9.31621746	7.40913928	10.71923293	2.8969626	8.71340437	2.14304719	1.74320918	3.71504148	1.95551434	9.30743963	8.07505243	9.29108812
GTEX-ZZPU-0626-SM-5E43T	11.58534576	-0.26245649	2.34792163	2.86158127	8.61264618	7.40781099	11.13624834	9.89005804	8.14760338	2.10061747	-0.79750023	1.88219713	-0.21513754	8.6464071	9.05111781	8.22512764
GTEX-1211K-1926-SM-5EQLB	9.70690623		-1.05336372	2.00732591	9.23067587	7.77764998	10.54393421	9.18105736	7.95258432	6.34820106	3.06613733	2.53584529	1.25233731	10.55674568	8.51356057	8.39243172
GTEX-XUZC-1626-SM-4BRVP	10.02370678		0.50283867	0.8068383	9.05082085	7.02104647	5.75114091	6.15530071	8.40424663	10.91713571	0.00423129	1.00987968	0.02787281	8.25437802	8.25077627	6.57411959
GTEX-11EM3-1326-SM-5N9C6	11.20530207			2.51284251	9.46718805	6.74008156	10.4235131	8.9352329	7.78251624	4.19525046	3.74999538	4.01789628	1.40352057	8.99610914	8.33448276	6.31763425
GTEX-13FTX-1126-SM-5N9EN	10.85220023	2.28616622				8.17985004	10.78368903	8.3749287	7.92604896	11.85106577	5.50206577		-1.74948914	9.81941516	8.58281436	5.90527969
GTEX-RWS6-1926-SM-47JXY	11.35584644		1.00631989		7.73214568	6.74616938	11.85479362	9.22988723	8.46543258	5.55829435	0.1498087	3.20160245	-0.18842042	8.53256214	8.55933202	7.44130257
GTEX-Y5V5-2126-SM-4WWFO	9.97137791		1.32226024	1.41310007	9.46843457	7.64862179	9.78786438	11.49578605	8.46505054	3.32250532	4.265238	1.1470602	-1.5457087	9.66940058	8.83309503	8.47343973
GTEX-ZVT4-1026-SM-57WC4	10.76755822		1.95414448	0.0652159	8.12652841	8.16811551	11.43367989	11.14960682	7.90500302	8.32686186	5.35762887	5.57587079		9.26175167	8.50947592	7.81034827
GTEX-1399U-1826-SM-5PNZ1	9.96207125	-0.24618317	-1.6126602	1.6380639	9.94740797	7.75132183	9.78971227	9.66148248	7.98716905	7.25584637	3.44078554	3.81918774	1.2030582	8.65998096	8.60393645	6.16832244
GTEX-R3RS-0626-SM-48FE1	11.81667101	0.0959799	-0.25049558		8.2738911	6.77615433	10.43798562	9.47530951	8.55496822	8.18246039	0.68250784	3.69786301	0.78622663	9.1328777	8.00379697	10.52863214
GTEX-W5X1-2326-SM-3GIL6	10.96647315			0.04147672	5.31209719	7.09872345	11.6634183	11.54834146	8.48192222	11.80078437	2.72973227	2.4918689	-1.70629034	9.36278428	9.15429538	7.02765042
GTEX-XMD2-0926-SM-4WWEF	9.67405235		0.1033315	0.77254214	7.83386605	7.52509412	9.5525558	4.38437704	8.76571128	0.14694168	1.68624846	3.58402491	-0.30896856	8.88349906	8.82525311	8.11949178
